year,k,se_k
1961,0.0,0.3283118980993687
1962,-0.03867104868960536,0.31989111851481405
1963,-0.08571200676654672,0.31142177345836164
1964,-0.12250310844935744,0.30256804760265743
1965,-0.17293963643502738,0.2937969964087137
1966,-0.22215448705289764,0.2849742168851567
1967,-0.2620705626761549,0.2757277747569857
1968,-0.2885195634593209,0.2663964722287506
1969,-0.3166501198009643,0.2571380780691242
1970,-0.3492059305210177,0.24729523216192725
1971,-0.4014694723472819,0.23716823610368015
1972,-0.4254430052251756,0.22698222544358307
1973,-0.455461942519953,0.21619886170844432
1974,-0.4817949374075499,0.20515579942453743
1975,-0.5275024285315666,0.19386537566646012
1976,-0.5176512104267528,0.1818245094542887
1977,-0.5490969813434019,0.16951845491517695
1978,-0.56762195639398,0.15631750828974175
1979,-0.5796407024940079,0.1419933981458926
1980,-0.6024444086598605,0.12618306853453773
1981,-0.6115001504343254,0.10878909597563308
1982,-0.6360696734126277,0.08817496810993411
1983,-0.6379357897372655,0.06173663849440476
1984,-0.625658695515858,0.0
1985,-0.6276110944268177,0.0
1986,-0.6244474212486658,0.0
1987,-0.6143034386197314,0.0
1988,-0.6049340703106216,0.0
1989,-0.613329434118132,0.0
1990,-0.5973309003749493,0.0
1991,-0.6049896359602945,0.0
1992,-0.5943540712327485,0.0
1993,-0.5709503706234241,0.0
1994,-0.5510731043906292,0.0
1995,-0.5119061012336698,0.0
1996,-0.4832654869378787,0.0
1997,-0.4637114191335971,0.0
1998,-0.44966753887356575,0.0
1999,-0.42992896177901824,0.0
2000,-0.3952992638851289,0.0
2001,-0.3669753923725511,0.0
2002,-0.33639527877378256,0.0
2003,-0.29585423467542127,0.0
2004,-0.2420747582540485,0.0
2005,-0.21178559022777532,0.0
2006,-0.16941300890611846,0.0
2007,-0.13004409560964109,0.0
2008,-0.10442416243239408,0.0
2009,-0.08740180218889973,0.0
2010,0.005890930808954975,0.0
2011,0.04158991568719328,0.0
2012,0.09375070325598577,0.0
2013,0.14672832066413072,0.0
2014,0.20570135463590536,0.0
2015,0.2607225442056808,0.0
2016,0.3270773280095533,0.0
2017,0.39500475538312074,0.0
2018,0.45886968175474574,0.0
2019,0.5239871383567731,0.0
2020,0.5330243688865636,0.0
2021,0.6965908891841357,0.0
2022,0.753135654118301,0.0
